Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,TCN_Mean,TCN_CI_Lower,TCN_CI_Upper,TCN_PI_Lower,TCN_PI_Upper,Dataset,Horizon,Horizon_Months
2016-07-01,5769.0,5240.757703684619,5240.757703684618,5240.75770368462,3631.7742133341944,6849.741194035043,4997.925,4809.5376,5186.312,2804.3274,7191.5225,Train,2020,12
2016-08-01,5565.0,5426.495084129827,5426.495084129827,5426.495084129827,3817.5115937794026,7035.478574480251,5297.927,5071.216,5524.6377,3104.3293,7491.5244,Train,2020,12
2016-09-01,5367.0,5270.274065695113,5270.274065695113,5270.274065695113,3661.2905753446885,6879.257556045537,5075.4717,4871.591,5279.3525,2881.8743,7269.0693,Train,2020,12
2016-10-01,5633.0,5196.105967111224,5196.105967111223,5196.105967111225,3587.1224767608,6805.089457461649,4999.8643,4780.761,5218.9673,2806.2668,7193.462,Train,2020,12
2016-11-01,5664.0,5198.161781893118,5198.161781893117,5198.161781893119,3589.178291542694,6807.145272243542,5166.866,4969.119,5364.6133,2973.2688,7360.464,Train,2020,12
2016-12-01,6082.0,5781.873534568688,5781.873534568688,5781.873534568688,4172.890044218264,7390.8570249191125,5203.6797,4981.425,5425.9346,3010.0823,7397.2773,Train,2020,12
2017-01-01,6505.0,8520.321143197367,8520.321143197365,8520.321143197369,6911.337652846943,10129.30463354779,5483.871,5280.0386,5687.7036,3290.2737,7677.4688,Train,2020,12
2017-02-01,5813.0,6273.022702647091,6273.02270264709,6273.022702647092,4664.039212296667,7882.006192997515,5774.712,5559.978,5989.446,3581.1145,7968.3096,Train,2020,12
2017-03-01,6379.0,6236.731057174812,6236.731057174811,6236.731057174813,4627.747566824388,7845.714547525236,5445.8174,5232.9946,5658.64,3252.22,7639.415,Train,2020,12
2017-04-01,6091.0,5940.5636148412095,5940.5636148412095,5940.5636148412095,4331.580124490785,7549.547105191634,5882.4814,5691.532,6073.4307,3688.884,8076.079,Train,2020,12
2017-05-01,6219.0,6083.567611571126,6083.567611571126,6083.567611571126,4474.5841212207015,7692.55110192155,5632.627,5416.3257,5848.928,3439.0295,7826.2246,Train,2020,12
2017-06-01,6052.0,5914.453426235051,5914.45342623505,5914.453426235052,4305.4699358846265,7523.436916585475,5818.8057,5518.673,6118.9385,3625.2083,8012.4033,Train,2020,12
2017-07-01,6105.0,6302.191910972758,6302.191910972757,6302.191910972759,4693.2084206223335,7911.175401323182,5556.061,5348.079,5764.043,3362.4636,7749.658,Train,2020,12
2017-08-01,6030.0,5950.693722263453,5950.693722263452,5950.693722263454,4341.710231913029,7559.677212613878,5662.0967,5394.288,5929.9053,3468.4993,7855.6943,Train,2020,12
2017-09-01,5969.0,5881.1846395819475,5881.184639581947,5881.184639581948,4272.201149231523,7490.168129932372,5574.0566,5349.2944,5798.819,3380.4592,7767.6543,Train,2020,12
2017-10-01,5707.0,6013.681116690955,6013.681116690955,6013.681116690955,4404.69762634053,7622.664607041379,5531.6284,5279.5786,5783.678,3338.031,7725.2256,Train,2020,12
2017-11-01,5681.0,5433.748151074083,5433.748151074082,5433.748151074084,3824.7646607236584,7042.731641424507,5338.5464,5098.9395,5578.1533,3144.949,7532.1436,Train,2020,12
2017-12-01,6052.0,5820.203047451623,5820.203047451622,5820.203047451624,4211.219557101199,7429.1865378020475,5312.345,5065.3145,5559.376,3118.7478,7505.9424,Train,2020,12
2018-01-01,5904.0,6398.0480468425985,6398.048046842598,6398.048046842599,4789.064556492174,8007.031537193023,5502.724,5276.782,5728.666,3309.1267,7696.3213,Train,2020,12
2018-02-01,5426.0,5855.0486760416325,5855.048676041632,5855.048676041633,4246.065185691208,7464.032166392057,5390.8643,5152.716,5629.0127,3197.2668,7584.462,Train,2020,12
2018-03-01,6005.0,5973.662632755202,5973.662632755201,5973.662632755203,4364.679142404778,7582.646123105626,5116.0215,4881.636,5350.4067,2922.424,7309.619,Train,2020,12
2018-04-01,5766.0,5703.2023291706,5703.2023291706,5703.2023291706,4094.2188388201757,7312.185819521024,5490.3496,5274.976,5705.723,3296.7522,7683.9473,Train,2020,12
2018-05-01,5946.0,5732.907528469006,5732.907528469005,5732.907528469007,4123.924038118582,7341.89101881943,5306.987,5071.7847,5542.189,3113.3894,7500.584,Train,2020,12
2018-06-01,5981.0,5832.342421767803,5832.342421767802,5832.342421767804,4223.358931417379,7441.325912118227,5465.868,5212.718,5719.0186,3272.2708,7659.466,Train,2020,12
2018-07-01,6104.0,6280.593810352154,6280.593810352153,6280.593810352155,4671.61032000173,7889.577300702578,5422.465,5217.5776,5627.352,3228.8674,7616.0625,Train,2020,12
