Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq_Mean,Seq2Seq_CI_Lower,Seq2Seq_CI_Upper,Seq2Seq_PI_Lower,Seq2Seq_PI_Upper,Dataset,Horizon,Horizon_Months
2018-10-01,5709.0,5758.793801641978,5758.793801641977,5758.7938016419785,4149.810311291553,7367.777291992402,5933.8804,5897.236,5970.525,4502.5444,7365.2163,Train,2020,12
2018-11-01,5416.0,5717.8236858540195,5717.823685854019,5717.82368585402,4108.840195503595,7326.807176204444,5869.2524,5832.6084,5905.8965,4437.9165,7300.5884,Train,2020,12
2018-12-01,5793.0,5838.072385763815,5838.072385763815,5838.072385763815,4229.088895413391,7447.055876114239,5738.936,5703.1226,5774.7495,4307.6,7170.272,Train,2020,12
2019-01-01,5750.0,6054.429419822462,6054.429419822461,6054.4294198224625,4445.445929472037,7663.412910172886,5763.994,5726.3203,5801.668,4332.658,7195.33,Train,2020,12
2019-02-01,5399.0,5168.871753004773,5168.8717530047725,5168.871753004774,3559.888262654349,6777.855243355198,5781.045,5743.193,5818.897,4349.709,7212.381,Train,2020,12
2019-03-01,6123.0,5991.036021401861,5991.03602140186,5991.036021401862,4382.052531051437,7600.019511752285,5687.224,5653.553,5720.895,4255.888,7118.56,Train,2020,12
2019-04-01,5730.0,5860.95325806053,5860.95325806053,5860.95325806053,4251.969767710106,7469.936748410954,5840.0605,5797.45,5882.671,4408.7246,7271.3965,Train,2020,12
2019-05-01,6015.0,5894.009643999094,5894.009643999093,5894.009643999095,4285.02615364867,7502.993134349518,5840.3916,5801.601,5879.182,4409.0557,7271.7275,Train,2020,12
2019-06-01,5989.0,5921.405318604333,5921.405318604332,5921.405318604334,4312.421828253909,7530.388808954757,5919.0215,5876.9385,5961.1045,4487.6855,7350.3574,Train,2020,12
2019-07-01,6333.0,6067.426677730255,6067.426677730255,6067.426677730255,4458.44318737983,7676.410168080679,5967.6826,5925.658,6009.707,4536.3467,7399.0186,Train,2020,12
2019-08-01,6388.0,6228.633988281371,6228.63398828137,6228.633988281372,4619.650497930947,7837.617478631795,6102.82,6054.584,6151.0557,4671.484,7534.156,Train,2020,12
2019-09-01,6048.0,6215.911449714039,6215.911449714038,6215.91144971404,4606.927959363615,7824.894940064463,6215.8657,6165.318,6266.4136,4784.53,7647.2017,Train,2020,12
2019-10-01,6322.0,5869.109580082797,5869.109580082797,5869.109580082797,4260.126089732373,7478.093070433221,6182.101,6139.1797,6225.0225,4750.765,7613.437,Train,2020,12
2019-11-01,6405.0,6164.287270578614,6164.287270578614,6164.287270578614,4555.30378022819,7773.270760929038,6228.537,6183.372,6273.702,4797.201,7659.873,Train,2020,12
2019-12-01,6523.0,6716.951135724676,6716.951135724676,6716.951135724676,5107.967645374251,8325.934626075099,6290.6885,6243.5845,6337.7925,4859.3525,7722.0244,Train,2020,12
2020-01-01,6732.0,6366.833061512792,6366.833061512791,6366.8330615127925,4757.849571162367,7975.816551863216,6369.0747,6319.416,6418.7334,4937.739,7800.4106,Test,2020,12
2020-02-01,6587.0,5890.850163354197,5890.850163354196,5890.850163354198,4281.866673003773,7499.833653704622,6374.4517,6311.833,6437.0703,4943.1157,7805.7876,Test,2020,12
2020-03-01,7438.0,6480.53464892855,6480.53464892855,6480.53464892855,4871.551158578126,8089.518139278975,6371.0527,6293.7817,6448.3237,4939.717,7802.3887,Test,2020,12
2020-04-01,8138.0,6159.275244037634,6159.2752440376335,6159.275244037635,4550.29175368721,7768.258734388059,6365.217,6273.436,6456.9976,4933.881,7796.5527,Test,2020,12
2020-05-01,9609.0,6342.344434674859,6342.344434674859,6342.344434674859,4733.360944324435,7951.327925025284,6360.0835,6254.397,6465.77,4928.7476,7791.4194,Test,2020,12
2020-06-01,8378.0,6329.619163831951,6329.619163831951,6329.619163831951,4720.635673481526,7938.602654182375,6353.585,6234.721,6472.4487,4922.249,7784.921,Test,2020,12
2020-07-01,8692.0,6497.218038796284,6497.2180387962835,6497.218038796285,4888.23454844586,8106.201529146709,6347.374,6216.2256,6478.5225,4916.038,7778.71,Test,2020,12
2020-08-01,8436.0,6413.8315562049675,6413.8315562049675,6413.8315562049675,4804.848065854543,8022.815046555392,6341.4033,6198.8525,6483.954,4910.0674,7772.7393,Test,2020,12
2020-09-01,7657.0,6064.4517988245725,6064.4517988245725,6064.4517988245725,4455.468308474148,7673.435289174997,6336.715,6183.7095,6489.72,4905.379,7768.051,Test,2020,12
2020-10-01,7537.0,6157.994771489894,6157.994771489894,6157.994771489894,4549.01128113947,7766.978261840319,6332.2686,6169.472,6495.065,4900.9326,7763.6045,Test,2020,12
2020-11-01,7498.0,5966.190879502007,5966.190879502006,5966.190879502008,4357.207389151583,7575.1743698524315,6328.165,6156.2354,6500.0947,4896.829,7759.501,Test,2020,12
2020-12-01,7861.0,6242.7206899336825,6242.720689933682,6242.720689933683,4633.737199583258,7851.704180284107,6324.406,6143.966,6504.8457,4893.07,7755.7417,Test,2020,12
