Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2017-09-01,5969.0,5881.1846395819475,5881.184639581947,5881.184639581948,3282.7677988322944,8479.601480331601,5973.4946,5917.8364,6029.153,3045.906,8901.083,Train,2020-2022,36
2017-10-01,5707.0,6013.681116690955,6013.681116690955,6013.681116690955,3415.2642759413015,8612.097957440608,5977.836,5925.1313,6030.5405,3050.2473,8905.425,Train,2020-2022,36
2017-11-01,5681.0,5433.748151074083,5433.748151074082,5433.748151074084,2835.3313103244295,8032.164991823736,5937.766,5888.737,5986.7954,3010.1775,8865.3545,Train,2020-2022,36
2017-12-01,6052.0,5820.203047451623,5820.203047451622,5820.203047451624,3221.78620670197,8418.619888201276,5912.91,5871.9673,5953.853,2985.3215,8840.499,Train,2020-2022,36
2018-01-01,5904.0,6398.0480468425985,6398.048046842598,6398.048046842599,3799.6312060929454,8996.464887592252,5909.718,5871.798,5947.6377,2982.1292,8837.307,Train,2020-2022,36
2018-02-01,5426.0,5855.0486760416325,5855.048676041632,5855.048676041633,3256.6318352919793,8453.465516791286,5899.219,5855.5947,5942.8438,2971.6306,8826.808,Train,2020-2022,36
2018-03-01,6005.0,5973.662632755202,5973.662632755201,5973.662632755203,3375.245792005549,8572.079473504855,5853.3184,5807.194,5899.443,2925.7297,8780.907,Train,2020-2022,36
2018-04-01,5766.0,5703.2023291706,5703.2023291706,5703.2023291706,3104.785488420947,8301.619169920254,5854.8643,5814.7817,5894.947,2927.2756,8782.453,Train,2020-2022,36
2018-05-01,5946.0,5732.907528469006,5732.907528469005,5732.907528469007,3134.490687719353,8331.324369218659,5841.517,5799.415,5883.619,2913.9285,8769.105,Train,2020-2022,36
2018-06-01,5981.0,5832.342421767803,5832.342421767802,5832.342421767804,3233.92558101815,8430.759262517457,5862.855,5827.891,5897.819,2935.2664,8790.443,Train,2020-2022,36
2018-07-01,6104.0,6280.593810352154,6280.593810352153,6280.593810352155,3682.176969602501,8879.010651101808,5878.834,5823.4805,5934.1875,2951.2454,8806.423,Train,2020-2022,36
2018-08-01,5991.0,5924.108114697855,5924.108114697854,5924.108114697856,3325.691273948202,8522.524955447509,5886.0444,5837.7715,5934.3174,2958.4558,8813.633,Train,2020-2022,36
2018-09-01,5670.0,5815.917307627211,5815.91730762721,5815.917307627212,3217.5004668775578,8414.334148376864,5891.5493,5838.475,5944.6235,2963.9607,8819.138,Train,2020-2022,36
2018-10-01,5709.0,5758.793801641978,5758.793801641977,5758.7938016419785,3160.3769608923244,8357.21064239163,5898.6377,5849.8574,5947.418,2971.049,8826.227,Train,2020-2022,36
2018-11-01,5416.0,5717.8236858540195,5717.823685854019,5717.82368585402,3119.4068451043663,8316.240526603673,5881.7104,5842.4614,5920.9595,2954.1218,8809.299,Train,2020-2022,36
2018-12-01,5793.0,5838.072385763815,5838.072385763815,5838.072385763815,3239.655545014162,8436.489226513468,5852.8013,5812.1313,5893.471,2925.2126,8780.39,Train,2020-2022,36
