Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,LSTM_Mean,LSTM_CI_Lower,LSTM_CI_Upper,LSTM_PI_Lower,LSTM_PI_Upper,Dataset,Horizon,Horizon_Months
2018-08-01,5991.0,5924.108114697855,5924.108114697854,5924.108114697856,3626.7084208172555,8221.507808578455,5446.2803,4077.3452,6815.2153,3589.5942,7302.9663,Train,2020-2021,24
2018-09-01,5670.0,5815.917307627211,5815.91730762721,5815.917307627212,3518.5176137466115,8113.31700150781,5426.9556,4062.9082,6791.003,3570.2695,7283.6416,Train,2020-2021,24
2018-10-01,5709.0,5758.793801641978,5758.793801641977,5758.7938016419785,3461.394107761378,8056.193495522577,5488.472,4108.9155,6868.029,3631.7861,7345.158,Train,2020-2021,24
2018-11-01,5416.0,5717.8236858540195,5717.823685854019,5717.82368585402,3420.42399197342,8015.223379734619,5480.2437,4102.674,6857.8135,3623.5576,7336.9297,Train,2020-2021,24
2018-12-01,5793.0,5838.072385763815,5838.072385763815,5838.072385763815,3540.6726918832155,8135.472079644414,5370.781,4016.0369,6725.5244,3514.0947,7227.467,Train,2020-2021,24
2019-01-01,5750.0,6054.429419822462,6054.429419822461,6054.4294198224625,3757.029725941862,8351.829113703061,5300.351,3967.963,6632.7393,3443.665,7157.037,Train,2020-2021,24
2019-02-01,5399.0,5168.871753004773,5168.8717530047725,5168.871753004774,2871.472059124174,7466.271446885373,5191.9775,3886.94,6497.015,3335.2915,7048.6636,Train,2020-2021,24
2019-03-01,6123.0,5991.036021401861,5991.03602140186,5991.036021401862,3693.6363275212616,8288.43571528246,5171.2363,3871.4229,6471.05,3314.5503,7027.9224,Train,2020-2021,24
2019-04-01,5730.0,5860.95325806053,5860.95325806053,5860.95325806053,3563.5535641799306,8158.3529519411295,5163.112,3865.3894,6460.834,3306.4258,7019.798,Train,2020-2021,24
2019-05-01,6015.0,5894.009643999094,5894.009643999093,5894.009643999095,3596.6099501184945,8191.409337879693,5284.4683,3956.044,6612.8926,3427.7822,7141.1543,Train,2020-2021,24
2019-06-01,5989.0,5921.405318604333,5921.405318604332,5921.405318604334,3624.0056247237335,8218.805012484932,5265.6514,3942.153,6589.1494,3408.9653,7122.3374,Train,2020-2021,24
2019-07-01,6333.0,6067.426677730255,6067.426677730255,6067.426677730255,3770.026983849655,8364.826371610854,5298.635,3966.8218,6630.4478,3441.9487,7155.321,Train,2020-2021,24
2019-08-01,6388.0,6228.633988281371,6228.63398828137,6228.633988281372,3931.2342944007714,8526.033682161971,5500.3115,4117.7915,6882.8315,3643.6255,7356.9976,Train,2020-2021,24
2019-09-01,6048.0,6215.911449714039,6215.911449714038,6215.91144971404,3918.5117558334396,8513.311143594638,5479.978,4102.561,6857.395,3623.292,7336.664,Train,2020-2021,24
2019-10-01,6322.0,5869.109580082797,5869.109580082797,5869.109580082797,3571.7098862021976,8166.5092739633965,5614.0264,4202.955,7025.0977,3757.3403,7470.7124,Train,2020-2021,24
2019-11-01,6405.0,6164.287270578614,6164.287270578614,6164.287270578614,3866.8875766980145,8461.686964459213,5681.129,4253.1973,7109.0605,3824.4429,7537.815,Train,2020-2021,24
2019-12-01,6523.0,6716.951135724676,6716.951135724676,6716.951135724676,4419.551441844076,9014.350829605275,5784.9478,4330.8394,7239.056,3928.2617,7641.634,Train,2020-2021,24
2020-01-01,6732.0,6366.833061512792,6366.833061512791,6366.8330615127925,4069.433367632192,8664.23275539339,5776.955,4324.9004,7229.01,3920.269,7633.641,Test,2020-2021,24
2020-02-01,6587.0,5890.850163354197,5890.850163354196,5890.850163354198,3593.450469473598,8188.249857234797,5757.737,4313.862,7201.612,3901.0508,7614.423,Test,2020-2021,24
2020-03-01,7438.0,6480.53464892855,6480.53464892855,6480.53464892855,4183.134955047951,8777.934342809149,5871.1284,4381.387,7360.8696,4014.4424,7727.8145,Test,2020-2021,24
2020-04-01,8138.0,6159.275244037634,6159.2752440376335,6159.275244037635,3861.875550157035,8456.674937918233,5913.7627,4409.234,7418.2915,4057.0767,7770.4487,Test,2020-2021,24
2020-05-01,9609.0,6342.344434674859,6342.344434674859,6342.344434674859,4044.94474079426,8639.74412855546,5942.8623,4441.1553,7444.5693,4086.1763,7799.5483,Test,2020-2021,24
2020-06-01,8378.0,6329.619163831951,6329.619163831951,6329.619163831951,4032.219469951351,8627.01885771255,5935.053,4442.8076,7427.299,4078.3672,7791.7393,Test,2020-2021,24
2020-07-01,8692.0,6497.218038796284,6497.2180387962835,6497.218038796285,4199.818344915685,8794.617732676885,5972.118,4469.9985,7474.238,4115.432,7828.804,Test,2020-2021,24
2020-08-01,8436.0,6413.8315562049675,6413.8315562049675,6413.8315562049675,4116.431862324368,8711.231250085566,6035.3213,4517.1553,7553.4873,4178.6353,7892.0073,Test,2020-2021,24
2020-09-01,7657.0,6064.4517988245725,6064.4517988245725,6064.4517988245725,3767.052104943973,8361.851492705173,6064.973,4539.8066,7590.1396,4208.287,7921.659,Test,2020-2021,24
2020-10-01,7537.0,6157.994771489894,6157.994771489894,6157.994771489894,3860.595077609295,8455.394465370493,6087.3066,4556.53,7618.0835,4230.6206,7943.9927,Test,2020-2021,24
2020-11-01,7498.0,5966.190879502007,5966.190879502006,5966.190879502008,3668.7911856214077,8263.590573382608,6110.464,4573.759,7647.169,4253.778,7967.15,Test,2020-2021,24
2020-12-01,7861.0,6242.7206899336825,6242.720689933682,6242.720689933683,3945.320996053083,8540.120383814283,6151.925,4604.6436,7699.206,4295.239,8008.611,Test,2020-2021,24
2021-01-01,9066.0,6147.223940963276,6147.223940963276,6147.223940963276,3849.8242470826763,8444.623634843876,6193.393,4635.45,7751.336,4336.707,8050.079,Test,2020-2021,24
2021-02-01,7946.0,5741.17668308784,5741.176683087839,5741.1766830878405,3443.77698920724,8038.576376968439,6222.21,4656.837,7787.583,4365.524,8078.896,Test,2020-2021,24
2021-03-01,9528.0,6408.280576494406,6408.280576494406,6408.280576494406,4110.8808826138065,8705.680270375005,6251.3354,4678.4653,7824.2056,4394.6494,8108.0215,Test,2020-2021,24
2021-04-01,9644.0,6025.3416793456345,6025.3416793456345,6025.3416793456345,3727.941985465035,8322.741373226234,6284.6084,4703.177,7866.04,4427.9224,8141.2944,Test,2020-2021,24
2021-05-01,9504.0,6265.825616055785,6265.825616055784,6265.825616055786,3968.4259221751854,8563.225309936384,6322.767,4731.4795,7914.0547,4466.081,8179.453,Test,2020-2021,24
2021-06-01,9207.0,6233.055949368062,6233.055949368061,6233.055949368063,3935.6562554874627,8530.45564324866,6358.1094,4757.6567,7958.562,4501.4233,8214.795,Test,2020-2021,24
2021-07-01,9545.0,6510.449194761421,6510.44919476142,6510.4491947614215,4213.049500880821,8807.84888864202,6389.8286,4781.1577,7998.4995,4533.1426,8246.515,Test,2020-2021,24
2021-08-01,9546.0,6511.769160597081,6511.76916059708,6511.769160597082,4214.369466716482,8809.16885447768,6423.2676,4805.9297,8040.6055,4566.5815,8279.953,Test,2020-2021,24
2021-09-01,9125.0,6160.061625225718,6160.061625225717,6160.061625225719,3862.6619313451183,8457.461319106318,6458.874,4832.2837,8085.4644,4602.188,8315.56,Test,2020-2021,24
2021-10-01,8929.0,6368.291729459887,6368.291729459887,6368.291729459887,4070.892035579288,8665.691423340486,6495.197,4859.137,8131.2563,4638.5107,8351.883,Test,2020-2021,24
2021-11-01,8474.0,6355.952076666921,6355.95207666692,6355.952076666922,4058.5523827863217,8653.35177054752,6529.9795,4884.842,8175.117,4673.2935,8386.665,Test,2020-2021,24
2021-12-01,8812.0,6517.7746224757575,6517.7746224757575,6517.7746224757575,4220.374928595158,8815.174316356357,6564.241,4910.1626,8218.32,4707.555,8420.927,Test,2020-2021,24
