Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq_Mean,Seq2Seq_CI_Lower,Seq2Seq_CI_Upper,Seq2Seq_PI_Lower,Seq2Seq_PI_Upper,Dataset,Horizon,Horizon_Months
2016-06-01,5305.0,4829.847633633448,4829.847633633447,4829.847633633449,2231.4307928837948,7428.264474383101,5502.4727,5466.9146,5538.031,2920.248,8084.6973,Train,2020-2022,36
2016-07-01,5769.0,5240.757703684619,5240.757703684618,5240.75770368462,2642.3408629349656,7839.174544434272,5493.163,5462.0757,5524.2505,2910.9385,8075.3877,Train,2020-2022,36
2016-08-01,5565.0,5426.495084129827,5426.495084129827,5426.495084129827,2828.0782433801737,8024.91192487948,5618.825,5581.3213,5656.329,3036.6006,8201.05,Train,2020-2022,36
2016-09-01,5367.0,5270.274065695113,5270.274065695113,5270.274065695113,2671.8572249454596,7868.690906444766,5647.497,5611.4917,5683.5024,3065.2725,8229.722,Train,2020-2022,36
2016-10-01,5633.0,5196.105967111224,5196.105967111223,5196.105967111225,2597.689126361571,7794.522807860878,5598.526,5565.8228,5631.229,3016.3013,8180.7505,Train,2020-2022,36
2016-11-01,5664.0,5198.161781893118,5198.161781893117,5198.161781893119,2599.744941143465,7796.578622642772,5636.8735,5601.668,5672.079,3054.649,8219.098,Train,2020-2022,36
2016-12-01,6082.0,5781.873534568688,5781.873534568688,5781.873534568688,3183.456693819035,8380.290375318342,5679.542,5643.0527,5716.0312,3097.3174,8261.767,Train,2020-2022,36
2017-01-01,6505.0,8520.321143197367,8520.321143197365,8520.321143197369,5921.904302447714,11118.73798394702,5838.2686,5793.847,5882.69,3256.044,8420.493,Train,2020-2022,36
2017-02-01,5813.0,6273.022702647091,6273.02270264709,6273.022702647092,3674.605861897438,8871.439543396744,6085.5303,6029.3096,6141.751,3503.3057,8667.755,Train,2020-2022,36
2017-03-01,6379.0,6236.731057174812,6236.731057174811,6236.731057174813,3638.314216425159,8835.147897924466,6038.244,5995.477,6081.011,3456.0195,8620.469,Train,2020-2022,36
2017-04-01,6091.0,5940.5636148412095,5940.5636148412095,5940.5636148412095,3342.1467740915564,8538.980455590863,6160.212,6112.32,6208.104,3577.9873,8742.437,Train,2020-2022,36
2017-05-01,6219.0,6083.567611571126,6083.567611571126,6083.567611571126,3485.1507708214726,8681.98445232078,6157.384,6114.331,6200.4365,3575.1592,8739.608,Train,2020-2022,36
2017-06-01,6052.0,5914.453426235051,5914.45342623505,5914.453426235052,3316.0365854853976,8512.870266984704,6184.35,6140.667,6228.033,3602.1255,8766.574,Train,2020-2022,36
2017-07-01,6105.0,6302.191910972758,6302.191910972757,6302.191910972759,3703.7750702231046,8900.608751722411,6149.234,6107.655,6190.813,3567.0093,8731.459,Train,2020-2022,36
2017-08-01,6030.0,5950.693722263453,5950.693722263452,5950.693722263454,3352.2768815138,8549.110563013106,6135.961,6094.047,6177.875,3553.7363,8718.186,Train,2020-2022,36
2017-09-01,5969.0,5881.1846395819475,5881.184639581947,5881.184639581948,3282.7677988322944,8479.601480331601,6103.6294,6062.7007,6144.558,3521.4048,8685.854,Train,2020-2022,36
2017-10-01,5707.0,6013.681116690955,6013.681116690955,6013.681116690955,3415.2642759413015,8612.097957440608,6065.5796,6025.182,6105.977,3483.355,8647.805,Train,2020-2022,36
2017-11-01,5681.0,5433.748151074083,5433.748151074082,5433.748151074084,2835.3313103244295,8032.164991823736,5955.6514,5917.901,5993.402,3373.4268,8537.876,Train,2020-2022,36
2017-12-01,6052.0,5820.203047451623,5820.203047451622,5820.203047451624,3221.78620670197,8418.619888201276,5871.8354,5834.2646,5909.4062,3289.6108,8454.061,Train,2020-2022,36
2018-01-01,5904.0,6398.0480468425985,6398.048046842598,6398.048046842599,3799.6312060929454,8996.464887592252,5933.126,5892.2974,5973.9546,3350.9014,8515.351,Train,2020-2022,36
2018-02-01,5426.0,5855.0486760416325,5855.048676041632,5855.048676041633,3256.6318352919793,8453.465516791286,5942.2646,5902.0728,5982.4565,3360.04,8524.489,Train,2020-2022,36
2018-03-01,6005.0,5973.662632755202,5973.662632755201,5973.662632755203,3375.245792005549,8572.079473504855,5798.8066,5764.29,5833.323,3216.582,8381.031,Train,2020-2022,36
2018-04-01,5766.0,5703.2023291706,5703.2023291706,5703.2023291706,3104.785488420947,8301.619169920254,5870.4146,5830.881,5909.948,3288.19,8452.639,Train,2020-2022,36
2018-05-01,5946.0,5732.907528469006,5732.907528469005,5732.907528469007,3134.490687719353,8331.324369218659,5859.823,5821.8447,5897.802,3277.5986,8442.048,Train,2020-2022,36
2018-06-01,5981.0,5832.342421767803,5832.342421767802,5832.342421767804,3233.92558101815,8430.759262517457,5906.462,5866.251,5946.673,3324.2373,8488.687,Train,2020-2022,36
2018-07-01,6104.0,6280.593810352154,6280.593810352153,6280.593810352155,3682.176969602501,8879.010651101808,5951.743,5910.3657,5993.1206,3369.5186,8533.968,Train,2020-2022,36
2018-08-01,5991.0,5924.108114697855,5924.108114697854,5924.108114697856,3325.691273948202,8522.524955447509,6018.7783,5975.1113,6062.4453,3436.5537,8601.003,Train,2020-2022,36
2018-09-01,5670.0,5815.917307627211,5815.91730762721,5815.917307627212,3217.5004668775578,8414.334148376864,6030.0557,5988.375,6071.7363,3447.831,8612.28,Train,2020-2022,36
2018-10-01,5709.0,5758.793801641978,5758.793801641977,5758.7938016419785,3160.3769608923244,8357.21064239163,5933.8804,5897.236,5970.525,3351.6558,8516.105,Train,2020-2022,36
2018-11-01,5416.0,5717.8236858540195,5717.823685854019,5717.82368585402,3119.4068451043663,8316.240526603673,5869.2524,5832.6084,5905.8965,3287.0278,8451.477,Train,2020-2022,36
2018-12-01,5793.0,5838.072385763815,5838.072385763815,5838.072385763815,3239.655545014162,8436.489226513468,5738.936,5703.1226,5774.7495,3156.7114,8321.16,Train,2020-2022,36
2019-01-01,5750.0,6054.429419822462,6054.429419822461,6054.4294198224625,3456.0125790728084,8652.846260572114,5763.994,5726.3203,5801.668,3181.7695,8346.219,Train,2020-2022,36
2019-02-01,5399.0,5168.871753004773,5168.8717530047725,5168.871753004774,2570.4549122551202,7767.288593754427,5781.045,5743.193,5818.897,3198.8203,8363.27,Train,2020-2022,36
