Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Seq2Seq+Attention_Mean,Seq2Seq+Attention_CI_Lower,Seq2Seq+Attention_CI_Upper,Seq2Seq+Attention_PI_Lower,Seq2Seq+Attention_PI_Upper,Dataset,Horizon,Horizon_Months
2017-10-01,5707.0,6013.681116690955,6013.681116690955,6013.681116690955,4426.022110069766,7601.340123312143,6056.569,6002.8203,6110.3174,4615.028,7498.11,Train,2020,12
2017-11-01,5681.0,5433.748151074083,5433.748151074082,5433.748151074084,3846.0891444528943,7021.407157695271,5946.282,5892.921,5999.6436,4504.741,7387.823,Train,2020,12
2017-12-01,6052.0,5820.203047451623,5820.203047451622,5820.203047451624,4232.544040830435,7407.862054072812,5875.8257,5824.189,5927.4624,4434.2847,7317.3667,Train,2020,12
2018-01-01,5904.0,6398.0480468425985,6398.048046842598,6398.048046842599,4810.38904022141,7985.707053463787,5928.8105,5881.466,5976.1553,4487.2695,7370.3516,Train,2020,12
2018-02-01,5426.0,5855.0486760416325,5855.048676041632,5855.048676041633,4267.389669420444,7442.707682662821,5918.362,5871.4097,5965.314,4476.821,7359.903,Train,2020,12
2018-03-01,6005.0,5973.662632755202,5973.662632755201,5973.662632755203,4386.003626134014,7561.3216393763905,5771.6455,5723.2627,5820.0283,4330.1045,7213.1865,Train,2020,12
2018-04-01,5766.0,5703.2023291706,5703.2023291706,5703.2023291706,4115.543322549412,7290.861335791788,5867.192,5821.173,5913.211,4425.651,7308.733,Train,2020,12
2018-05-01,5946.0,5732.907528469006,5732.907528469005,5732.907528469007,4145.248521847818,7320.5665350901945,5863.344,5816.161,5910.5273,4421.803,7304.8853,Train,2020,12
2018-06-01,5981.0,5832.342421767803,5832.342421767802,5832.342421767804,4244.683415146615,7420.001428388991,5882.1157,5836.5015,5927.73,4440.5747,7323.6567,Train,2020,12
2018-07-01,6104.0,6280.593810352154,6280.593810352153,6280.593810352155,4692.9348037309655,7868.252816973342,5911.402,5865.581,5957.2227,4469.861,7352.943,Train,2020,12
2018-08-01,5991.0,5924.108114697855,5924.108114697854,5924.108114697856,4336.449108076667,7511.767121319043,6010.8,5962.2075,6059.392,4569.259,7452.341,Train,2020,12
2018-09-01,5670.0,5815.917307627211,5815.91730762721,5815.917307627212,4228.2583010060225,7403.576314248399,6002.781,5953.5547,6052.007,4561.2397,7444.322,Train,2020,12
2018-10-01,5709.0,5758.793801641978,5758.793801641977,5758.7938016419785,4171.134795020789,7346.452808263166,5925.466,5873.1416,5977.79,4483.925,7367.007,Train,2020,12
2018-11-01,5416.0,5717.8236858540195,5717.823685854019,5717.82368585402,4130.164679232831,7305.482692475208,5875.843,5824.721,5926.9644,4434.302,7317.384,Train,2020,12
2018-12-01,5793.0,5838.072385763815,5838.072385763815,5838.072385763815,4250.413379142627,7425.731392385003,5751.8486,5701.33,5802.367,4310.3076,7193.3896,Train,2020,12
2019-01-01,5750.0,6054.429419822462,6054.429419822461,6054.4294198224625,4466.770413201273,7642.08842644365,5763.509,5718.89,5808.1274,4321.968,7205.05,Train,2020,12
2019-02-01,5399.0,5168.871753004773,5168.8717530047725,5168.871753004774,3581.212746383585,6756.530759625962,5755.5503,5712.537,5798.5635,4314.0093,7197.0913,Train,2020,12
2019-03-01,6123.0,5991.036021401861,5991.03602140186,5991.036021401862,4403.377014780673,7578.695028023049,5667.616,5623.636,5711.596,4226.075,7109.157,Train,2020,12
2019-04-01,5730.0,5860.95325806053,5860.95325806053,5860.95325806053,4273.294251439342,7448.612264681718,5819.2197,5776.1763,5862.263,4377.6787,7260.7607,Train,2020,12
2019-05-01,6015.0,5894.009643999094,5894.009643999093,5894.009643999095,4306.3506373779055,7481.668650620282,5828.6553,5783.622,5873.6885,4387.1143,7270.1963,Train,2020,12
2019-06-01,5989.0,5921.405318604333,5921.405318604332,5921.405318604334,4333.746311983145,7509.064325225521,5893.4463,5848.2227,5938.67,4451.9053,7334.9873,Train,2020,12
2019-07-01,6333.0,6067.426677730255,6067.426677730255,6067.426677730255,4479.767671109066,7655.085684351443,5932.7666,5886.3706,5979.1626,4491.2256,7374.3076,Train,2020,12
2019-08-01,6388.0,6228.633988281371,6228.63398828137,6228.633988281372,4640.9749816601825,7816.292994902559,6097.216,6047.8477,6146.584,4655.675,7538.757,Train,2020,12
2019-09-01,6048.0,6215.911449714039,6215.911449714038,6215.91144971404,4628.252443092851,7803.570456335227,6169.641,6119.254,6220.0283,4728.1,7611.182,Train,2020,12
2019-10-01,6322.0,5869.109580082797,5869.109580082797,5869.109580082797,4281.450573461609,7456.768586703985,6154.0596,6099.2544,6208.8647,4712.5186,7595.6006,Train,2020,12
2019-11-01,6405.0,6164.287270578614,6164.287270578614,6164.287270578614,4576.628263957426,7751.946277199802,6212.27,6157.1445,6267.3955,4770.729,7653.811,Train,2020,12
2019-12-01,6523.0,6716.951135724676,6716.951135724676,6716.951135724676,5129.292129103487,8304.610142345864,6283.1885,6226.7153,6339.6616,4841.6475,7724.7295,Train,2020,12
2020-01-01,6732.0,6366.833061512792,6366.833061512791,6366.8330615127925,4779.174054891603,7954.49206813398,6339.6562,6283.247,6396.0654,4898.115,7781.1973,Test,2020,12
2020-02-01,6587.0,5890.850163354197,5890.850163354196,5890.850163354198,4303.191156733009,7478.509169975386,6316.971,6242.835,6391.1074,4875.43,7758.512,Test,2020,12
2020-03-01,7438.0,6480.53464892855,6480.53464892855,6480.53464892855,4892.875642307362,8068.193655549739,6328.0664,6234.322,6421.811,4886.5254,7769.6074,Test,2020,12
2020-04-01,8138.0,6159.275244037634,6159.2752440376335,6159.275244037635,4571.616237416446,7746.934250658823,6323.3813,6211.449,6435.3135,4881.8403,7764.9224,Test,2020,12
2020-05-01,9609.0,6342.344434674859,6342.344434674859,6342.344434674859,4754.685428053671,7930.003441296048,6313.1533,6182.632,6443.675,4871.6123,7754.6943,Test,2020,12
2020-06-01,8378.0,6329.619163831951,6329.619163831951,6329.619163831951,4741.960157210762,7917.278170453139,6291.183,6141.2485,6441.1177,4849.642,7732.724,Test,2020,12
2020-07-01,8692.0,6497.218038796284,6497.2180387962835,6497.218038796285,4909.559032175096,8084.877045417473,6282.007,6115.286,6448.7275,4840.466,7723.548,Test,2020,12
2020-08-01,8436.0,6413.8315562049675,6413.8315562049675,6413.8315562049675,4826.172549583779,8001.490562826156,6275.048,6092.0625,6458.033,4833.507,7716.589,Test,2020,12
2020-09-01,7657.0,6064.4517988245725,6064.4517988245725,6064.4517988245725,4476.792792203384,7652.110805445761,6267.271,6068.8965,6465.6455,4825.73,7708.812,Test,2020,12
2020-10-01,7537.0,6157.994771489894,6157.994771489894,6157.994771489894,4570.335764868706,7745.653778111083,6259.59,6046.463,6472.717,4818.049,7701.131,Test,2020,12
2020-11-01,7498.0,5966.190879502007,5966.190879502006,5966.190879502008,4378.531872880819,7553.849886123196,6252.334,6025.111,6479.557,4810.793,7693.875,Test,2020,12
2020-12-01,7861.0,6242.7206899336825,6242.720689933682,6242.720689933683,4655.061683312494,7830.379696554871,6246.61,6006.007,6487.213,4805.069,7688.151,Test,2020,12
