Month,Sex,Deaths
2014-11-01,Female,1557.0
2014-11-01,Male,2581.0
2014-12-01,Female,1568.0
2014-12-01,Male,2663.0
2015-01-01,Female,1693.0
2015-01-01,Male,2916.0
2015-02-01,Female,1599.0
2015-02-01,Male,2724.0
2015-03-01,Female,1831.0
2015-03-01,Male,2994.0
2015-04-01,Female,1653.0
2015-04-01,Male,2809.0
2015-05-01,Female,1708.0
2015-05-01,Male,2934.0
2015-06-01,Female,1568.0
2015-06-01,Male,2801.0
2015-07-01,Female,1720.0
2015-07-01,Male,2952.0
2015-08-01,Female,1714.0
2015-08-01,Male,2947.0
2015-09-01,Female,1669.0
2015-09-01,Male,2986.0
2015-10-01,Female,1710.0
2015-10-01,Male,3006.0
2015-11-01,Female,1598.0
2015-11-01,Male,2779.0
2015-12-01,Female,1610.0
2015-12-01,Male,2874.0
2016-01-01,Female,1752.0
2016-01-01,Male,3159.0
2016-02-01,Female,1812.0
2016-02-01,Male,3406.0
2016-03-01,Female,2042.0
2016-03-01,Male,3717.0
2016-04-01,Female,1934.0
2016-04-01,Male,3522.0
2016-05-01,Female,1833.0
2016-05-01,Male,3526.0
2016-06-01,Female,1844.0
2016-06-01,Male,3461.0
2016-07-01,Female,1954.0
2016-07-01,Male,3815.0
2016-08-01,Female,1872.0
2016-08-01,Male,3693.0
2016-09-01,Female,1808.0
2016-09-01,Male,3559.0
2016-10-01,Female,1895.0
2016-10-01,Male,3738.0
2016-11-01,Female,1878.0
2016-11-01,Male,3786.0
2016-12-01,Female,2041.0
2016-12-01,Male,4041.0
2017-01-01,Female,2176.0
2017-01-01,Male,4329.0
2017-02-01,Female,1958.0
2017-02-01,Male,3855.0
2017-03-01,Female,2203.0
2017-03-01,Male,4176.0
2017-04-01,Female,2081.0
2017-04-01,Male,4010.0
2017-05-01,Female,2045.0
2017-05-01,Male,4174.0
2017-06-01,Female,2010.0
2017-06-01,Male,4042.0
2017-07-01,Female,2058.0
2017-07-01,Male,4047.0
2017-08-01,Female,1998.0
2017-08-01,Male,4032.0
2017-09-01,Female,1924.0
2017-09-01,Male,4045.0
2017-10-01,Female,1900.0
2017-10-01,Male,3807.0
2017-11-01,Female,1900.0
2017-11-01,Male,3781.0
2017-12-01,Female,2038.0
2017-12-01,Male,4014.0
2018-01-01,Female,1980.0
2018-01-01,Male,3924.0
2018-02-01,Female,1888.0
2018-02-01,Male,3538.0
2018-03-01,Female,1955.0
2018-03-01,Male,4050.0
2018-04-01,Female,1969.0
2018-04-01,Male,3797.0
2018-05-01,Female,1919.0
2018-05-01,Male,4027.0
2018-06-01,Female,1946.0
2018-06-01,Male,4035.0
2018-07-01,Female,2046.0
2018-07-01,Male,4058.0
2018-08-01,Female,1983.0
2018-08-01,Male,4008.0
2018-09-01,Female,1851.0
2018-09-01,Male,3819.0
2018-10-01,Female,1855.0
2018-10-01,Male,3854.0
2018-11-01,Female,1748.0
2018-11-01,Male,3668.0
2018-12-01,Female,1867.0
2018-12-01,Male,3926.0
2019-01-01,Female,1874.0
2019-01-01,Male,3876.0
2019-02-01,Female,1758.0
2019-02-01,Male,3641.0
2019-03-01,Female,2004.0
2019-03-01,Male,4119.0
2019-04-01,Female,1897.0
2019-04-01,Male,3833.0
2019-05-01,Female,1927.0
