Month,Age,Deaths
2021-05-01,50-54 years,1013.0
2021-05-01,55-59 years,974.0
2021-05-01,60-64 years ,709.0
2021-05-01,65-69 years,381.0
2021-05-01,70-74 years,125.0
2021-05-01,75-79 years,42.0
2021-05-01,80-84 years,14.0
2021-05-01,85-89 years,12.0
2021-05-01,90-94 years,10.642857142857142
2021-05-01,95-99 years,0.0
2021-05-01,< 1 year,10.0
2021-05-01,Not Stated,0.0
2021-06-01,1-4 years,11.0
2021-06-01,10-14 years,12.0
2021-06-01,100+ years,0.0
2021-06-01,15-19 years,142.0
2021-06-01,20-24 years,509.0
2021-06-01,25-29 years,863.0
2021-06-01,30-34 years,1158.0
2021-06-01,35-39 years,1213.0
2021-06-01,40-44 years,1090.0
2021-06-01,45-49 years,958.0
2021-06-01,5-9 years,0.0
2021-06-01,50-54 years,952.0
2021-06-01,55-59 years,1024.0
2021-06-01,60-64 years ,696.0
2021-06-01,65-69 years,376.0
2021-06-01,70-74 years,117.0
2021-06-01,75-79 years,48.0
2021-06-01,80-84 years,19.0
2021-06-01,85-89 years,11.5
2021-06-01,90-94 years,10.571428571428571
2021-06-01,95-99 years,0.0
2021-06-01,< 1 year,10.0
2021-06-01,Not Stated,0.0
2021-07-01,1-4 years,14.0
2021-07-01,10-14 years,13.0
2021-07-01,100+ years,0.0
2021-07-01,15-19 years,151.0
2021-07-01,20-24 years,480.0
2021-07-01,25-29 years,892.0
2021-07-01,30-34 years,1214.0
2021-07-01,35-39 years,1246.0
2021-07-01,40-44 years,1212.0
2021-07-01,45-49 years,988.0
2021-07-01,5-9 years,0.0
2021-07-01,50-54 years,979.0
2021-07-01,55-59 years,997.0
2021-07-01,60-64 years ,768.0
2021-07-01,65-69 years,386.0
2021-07-01,70-74 years,111.0
2021-07-01,75-79 years,45.0
2021-07-01,80-84 years,27.0
2021-07-01,85-89 years,11.0
2021-07-01,90-94 years,10.5
2021-07-01,95-99 years,0.0
2021-07-01,< 1 year,10.0
2021-07-01,Not Stated,0.0
2021-08-01,1-4 years,14.0
2021-08-01,10-14 years,14.0
2021-08-01,100+ years,0.0
2021-08-01,15-19 years,145.0
2021-08-01,20-24 years,493.0
2021-08-01,25-29 years,945.0
2021-08-01,30-34 years,1208.0
2021-08-01,35-39 years,1226.0
2021-08-01,40-44 years,1171.0
2021-08-01,45-49 years,992.0
2021-08-01,5-9 years,0.0
2021-08-01,50-54 years,1009.0
2021-08-01,55-59 years,982.0
2021-08-01,60-64 years ,726.0
2021-08-01,65-69 years,370.0
2021-08-01,70-74 years,129.0
2021-08-01,75-79 years,58.0
2021-08-01,80-84 years,23.0
2021-08-01,85-89 years,22.0
2021-08-01,90-94 years,10.428571428571429
2021-08-01,95-99 years,0.0
2021-08-01,< 1 year,10.0
2021-08-01,Not Stated,0.0
2021-09-01,1-4 years,13.0
2021-09-01,10-14 years,13.4
2021-09-01,100+ years,0.0
2021-09-01,15-19 years,139.0
2021-09-01,20-24 years,427.0
2021-09-01,25-29 years,868.0
2021-09-01,30-34 years,1196.0
2021-09-01,35-39 years,1196.0
2021-09-01,40-44 years,1051.0
2021-09-01,45-49 years,920.0
2021-09-01,5-9 years,0.0
2021-09-01,50-54 years,955.0
2021-09-01,55-59 years,1002.0
2021-09-01,60-64 years ,729.0
2021-09-01,65-69 years,366.0
2021-09-01,70-74 years,153.0
2021-09-01,75-79 years,42.0
2021-09-01,80-84 years,25.0
2021-09-01,85-89 years,16.0
2021-09-01,90-94 years,10.357142857142858
2021-09-01,95-99 years,0.0
2021-09-01,< 1 year,10.0
2021-09-01,Not Stated,0.0
2021-10-01,1-4 years,14.0
2021-10-01,10-14 years,12.8
2021-10-01,100+ years,0.0
2021-10-01,15-19 years,130.0
2021-10-01,20-24 years,433.0
2021-10-01,25-29 years,815.0
2021-10-01,30-34 years,1199.0
2021-10-01,35-39 years,1196.0
2021-10-01,40-44 years,1068.0
2021-10-01,45-49 years,862.0
2021-10-01,5-9 years,0.0
2021-10-01,50-54 years,968.0
2021-10-01,55-59 years,936.0
2021-10-01,60-64 years ,727.0
2021-10-01,65-69 years,342.0
2021-10-01,70-74 years,130.0
2021-10-01,75-79 years,41.0
2021-10-01,80-84 years,33.0
2021-10-01,85-89 years,15.0
2021-10-01,90-94 years,10.285714285714286
2021-10-01,95-99 years,0.0
2021-10-01,< 1 year,10.0
2021-10-01,Not Stated,0.0
2021-11-01,1-4 years,13.5
2021-11-01,10-14 years,12.2
2021-11-01,100+ years,0.0
2021-11-01,15-19 years,122.0
2021-11-01,20-24 years,376.0
2021-11-01,25-29 years,781.0
2021-11-01,30-34 years,1076.0
2021-11-01,35-39 years,1194.0
2021-11-01,40-44 years,1050.0
2021-11-01,45-49 years,833.0
2021-11-01,5-9 years,0.0
2021-11-01,50-54 years,858.0
2021-11-01,55-59 years,857.0
2021-11-01,60-64 years ,709.0
2021-11-01,65-69 years,373.0
2021-11-01,70-74 years,144.0
2021-11-01,75-79 years,39.0
2021-11-01,80-84 years,18.0
2021-11-01,85-89 years,19.0
2021-11-01,90-94 years,10.214285714285714
2021-11-01,95-99 years,0.0
2021-11-01,< 1 year,10.0
2021-11-01,Not Stated,0.0
2021-12-01,1-4 years,13.0
2021-12-01,10-14 years,11.6
2021-12-01,100+ years,0.0
2021-12-01,15-19 years,115.0
2021-12-01,20-24 years,411.0
2021-12-01,25-29 years,779.0
2021-12-01,30-34 years,1122.0
2021-12-01,35-39 years,1159.0
2021-12-01,40-44 years,1105.0
2021-12-01,45-49 years,871.0
2021-12-01,5-9 years,0.0
2021-12-01,50-54 years,941.0
2021-12-01,55-59 years,918.0
2021-12-01,60-64 years ,712.0
2021-12-01,65-69 years,419.0
2021-12-01,70-74 years,138.0
2021-12-01,75-79 years,50.0
2021-12-01,80-84 years,16.0
2021-12-01,85-89 years,19.0
2021-12-01,90-94 years,10.142857142857142
2021-12-01,95-99 years,0.0
2021-12-01,< 1 year,10.0
2021-12-01,Not Stated,0.0
2022-01-01,1-4 years,13.0
2022-01-01,10-14 years,11.0
2022-01-01,100+ years,0.0
2022-01-01,15-19 years,127.0
2022-01-01,20-24 years,436.0
2022-01-01,25-29 years,824.0
2022-01-01,30-34 years,1163.0
2022-01-01,35-39 years,1225.0
2022-01-01,40-44 years,1184.0
2022-01-01,45-49 years,926.0
2022-01-01,5-9 years,0.0
2022-01-01,50-54 years,893.0
2022-01-01,55-59 years,969.0
2022-01-01,60-64 years ,754.0
2022-01-01,65-69 years,413.0
2022-01-01,70-74 years,175.0
2022-01-01,75-79 years,82.0
2022-01-01,80-84 years,30.0
2022-01-01,85-89 years,17.0
2022-01-01,90-94 years,10.071428571428571
2022-01-01,95-99 years,0.0
2022-01-01,< 1 year,10.0
2022-01-01,Not Stated,0.0
2022-02-01,1-4 years,15.0
2022-02-01,10-14 years,15.0
2022-02-01,100+ years,0.0
2022-02-01,15-19 years,141.0
2022-02-01,20-24 years,445.0
2022-02-01,25-29 years,787.0
2022-02-01,30-34 years,1084.0
2022-02-01,35-39 years,1148.0
2022-02-01,40-44 years,1084.0
2022-02-01,45-49 years,872.0
2022-02-01,5-9 years,0.0
2022-02-01,50-54 years,993.0
2022-02-01,55-59 years,878.0
2022-02-01,60-64 years ,692.0
2022-02-01,65-69 years,352.0
2022-02-01,70-74 years,122.0
2022-02-01,75-79 years,46.0
2022-02-01,80-84 years,20.0
2022-02-01,85-89 years,14.0
2022-02-01,90-94 years,10.0
2022-02-01,95-99 years,0.0
2022-02-01,< 1 year,10.0
2022-02-01,Not Stated,0.0
2022-03-01,1-4 years,17.0
2022-03-01,10-14 years,14.5
2022-03-01,100+ years,0.0
2022-03-01,15-19 years,150.0
2022-03-01,20-24 years,475.0
2022-03-01,25-29 years,907.0
2022-03-01,30-34 years,1190.0
2022-03-01,35-39 years,1210.0
2022-03-01,40-44 years,1174.0
2022-03-01,45-49 years,1005.0
2022-03-01,5-9 years,0.0
2022-03-01,50-54 years,938.0
2022-03-01,55-59 years,977.0
2022-03-01,60-64 years ,739.0
2022-03-01,65-69 years,397.0
2022-03-01,70-74 years,141.0
2022-03-01,75-79 years,50.0
2022-03-01,80-84 years,21.0
2022-03-01,85-89 years,11.0
2022-03-01,90-94 years,10.0
2022-03-01,95-99 years,0.0
2022-03-01,< 1 year,10.0
2022-03-01,Not Stated,0.0
2022-04-01,1-4 years,16.0
2022-04-01,10-14 years,14.0
2022-04-01,100+ years,0.0
2022-04-01,15-19 years,120.0
2022-04-01,20-24 years,408.0
2022-04-01,25-29 years,805.0
2022-04-01,30-34 years,1155.0
2022-04-01,35-39 years,1164.0
2022-04-01,40-44 years,1087.0
2022-04-01,45-49 years,906.0
2022-04-01,5-9 years,0.0
2022-04-01,50-54 years,929.0
2022-04-01,55-59 years,907.0
2022-04-01,60-64 years ,667.0
2022-04-01,65-69 years,368.0
2022-04-01,70-74 years,147.0
2022-04-01,75-79 years,47.0
2022-04-01,80-84 years,26.0
2022-04-01,85-89 years,11.0
2022-04-01,90-94 years,10.0
2022-04-01,95-99 years,0.0
2022-04-01,< 1 year,10.0
2022-04-01,Not Stated,0.0
2022-05-01,1-4 years,19.0
2022-05-01,10-14 years,12.0
2022-05-01,100+ years,0.0
2022-05-01,15-19 years,144.0
2022-05-01,20-24 years,414.0
2022-05-01,25-29 years,795.0
2022-05-01,30-34 years,1071.0
2022-05-01,35-39 years,1149.0
2022-05-01,40-44 years,1145.0
2022-05-01,45-49 years,949.0
2022-05-01,5-9 years,0.0
2022-05-01,50-54 years,1016.0
2022-05-01,55-59 years,946.0
2022-05-01,60-64 years ,753.0
2022-05-01,65-69 years,362.0
2022-05-01,70-74 years,136.0
2022-05-01,75-79 years,73.0
2022-05-01,80-84 years,31.0
2022-05-01,85-89 years,11.0
2022-05-01,90-94 years,10.0
2022-05-01,95-99 years,0.0
2022-05-01,< 1 year,10.0
2022-05-01,Not Stated,0.0
2022-06-01,1-4 years,15.0
2022-06-01,10-14 years,10.0
2022-06-01,100+ years,0.0
2022-06-01,15-19 years,128.0
2022-06-01,20-24 years,406.0
2022-06-01,25-29 years,788.0
2022-06-01,30-34 years,1145.0
2022-06-01,35-39 years,1187.0
2022-06-01,40-44 years,1141.0
2022-06-01,45-49 years,958.0
2022-06-01,5-9 years,0.0
2022-06-01,50-54 years,918.0
2022-06-01,55-59 years,982.0
2022-06-01,60-64 years ,758.0
2022-06-01,65-69 years,387.0
2022-06-01,70-74 years,145.0
2022-06-01,75-79 years,55.0
2022-06-01,80-84 years,27.0
2022-06-01,85-89 years,16.0
2022-06-01,90-94 years,10.0
2022-06-01,95-99 years,0.0
2022-06-01,< 1 year,10.0
2022-06-01,Not Stated,0.0
2022-07-01,1-4 years,14.0
2022-07-01,10-14 years,14.0
2022-07-01,100+ years,0.0
2022-07-01,15-19 years,127.0
2022-07-01,20-24 years,460.0
2022-07-01,25-29 years,810.0
2022-07-01,30-34 years,1206.0
2022-07-01,35-39 years,1280.0
2022-07-01,40-44 years,1234.0
2022-07-01,45-49 years,1010.0
2022-07-01,5-9 years,0.0
2022-07-01,50-54 years,1036.0
2022-07-01,55-59 years,990.0
2022-07-01,60-64 years ,818.0
2022-07-01,65-69 years,407.0
2022-07-01,70-74 years,167.0
2022-07-01,75-79 years,55.0
2022-07-01,80-84 years,25.0
2022-07-01,85-89 years,21.0
2022-07-01,90-94 years,10.0
2022-07-01,95-99 years,0.0
2022-07-01,< 1 year,10.0
2022-07-01,Not Stated,0.0
2022-08-01,1-4 years,17.0
2022-08-01,10-14 years,18.0
2022-08-01,100+ years,0.0
2022-08-01,15-19 years,150.0
2022-08-01,20-24 years,385.0
2022-08-01,25-29 years,837.0
2022-08-01,30-34 years,1174.0
2022-08-01,35-39 years,1213.0
2022-08-01,40-44 years,1194.0
2022-08-01,45-49 years,940.0
2022-08-01,5-9 years,0.0
2022-08-01,50-54 years,984.0
2022-08-01,55-59 years,971.0
2022-08-01,60-64 years ,774.0
2022-08-01,65-69 years,406.0
2022-08-01,70-74 years,154.0
2022-08-01,75-79 years,52.0
2022-08-01,80-84 years,25.0
2022-08-01,85-89 years,14.0
2022-08-01,90-94 years,10.0
2022-08-01,95-99 years,0.0
2022-08-01,< 1 year,10.0
2022-08-01,Not Stated,0.0
2022-09-01,1-4 years,15.0
2022-09-01,10-14 years,17.0
2022-09-01,100+ years,0.0
2022-09-01,15-19 years,144.0
2022-09-01,20-24 years,403.0
2022-09-01,25-29 years,734.0
2022-09-01,30-34 years,1097.0
2022-09-01,35-39 years,1179.0
2022-09-01,40-44 years,1129.0
2022-09-01,45-49 years,883.0
2022-09-01,5-9 years,0.0
2022-09-01,50-54 years,988.0
2022-09-01,55-59 years,982.0
2022-09-01,60-64 years ,747.0
2022-09-01,65-69 years,429.0
2022-09-01,70-74 years,145.0
2022-09-01,75-79 years,52.0
2022-09-01,80-84 years,17.0
2022-09-01,85-89 years,14.0
2022-09-01,90-94 years,10.0
2022-09-01,95-99 years,0.0
2022-09-01,< 1 year,10.0
2022-09-01,Not Stated,0.0
2022-10-01,1-4 years,19.0
2022-10-01,10-14 years,16.0
2022-10-01,100+ years,0.0
2022-10-01,15-19 years,141.0
2022-10-01,20-24 years,420.0
2022-10-01,25-29 years,848.0
2022-10-01,30-34 years,1123.0
2022-10-01,35-39 years,1218.0
2022-10-01,40-44 years,1109.0
2022-10-01,45-49 years,916.0
2022-10-01,5-9 years,0.0
2022-10-01,50-54 years,947.0
2022-10-01,55-59 years,975.0
2022-10-01,60-64 years ,833.0
2022-10-01,65-69 years,437.0
2022-10-01,70-74 years,144.0
2022-10-01,75-79 years,54.0
2022-10-01,80-84 years,28.0
2022-10-01,85-89 years,11.0
2022-10-01,90-94 years,10.0
2022-10-01,95-99 years,0.0
2022-10-01,< 1 year,10.0
2022-10-01,Not Stated,0.0
2022-11-01,1-4 years,19.0
2022-11-01,10-14 years,15.0
2022-11-01,100+ years,0.0
2022-11-01,15-19 years,155.0
2022-11-01,20-24 years,399.0
2022-11-01,25-29 years,811.0
2022-11-01,30-34 years,1066.0
2022-11-01,35-39 years,1142.0
2022-11-01,40-44 years,1139.0
2022-11-01,45-49 years,933.0
2022-11-01,5-9 years,0.0
2022-11-01,50-54 years,934.0
2022-11-01,55-59 years,955.0
2022-11-01,60-64 years ,809.0
2022-11-01,65-69 years,411.0
2022-11-01,70-74 years,144.0
2022-11-01,75-79 years,50.0
2022-11-01,80-84 years,18.0
2022-11-01,85-89 years,12.0
2022-11-01,90-94 years,10.0
2022-11-01,95-99 years,0.0
2022-11-01,< 1 year,10.0
2022-11-01,Not Stated,0.0
2022-12-01,1-4 years,17.5
2022-12-01,10-14 years,16.0
2022-12-01,100+ years,0.0
2022-12-01,15-19 years,145.0
2022-12-01,20-24 years,457.0
2022-12-01,25-29 years,809.0
2022-12-01,30-34 years,1175.0
2022-12-01,35-39 years,1209.0
2022-12-01,40-44 years,1180.0
2022-12-01,45-49 years,1012.0
2022-12-01,5-9 years,0.0
2022-12-01,50-54 years,1001.0
2022-12-01,55-59 years,1042.0
2022-12-01,60-64 years ,898.0
2022-12-01,65-69 years,500.0
2022-12-01,70-74 years,155.0
2022-12-01,75-79 years,66.0
2022-12-01,80-84 years,18.0
2022-12-01,85-89 years,22.0
2022-12-01,90-94 years,10.0
2022-12-01,95-99 years,0.0
2022-12-01,< 1 year,10.0
2022-12-01,Not Stated,0.0
2023-01-01,1-4 years,16.0
2023-01-01,10-14 years,12.0
2023-01-01,100+ years,0.0
2023-01-01,15-19 years,156.0
2023-01-01,20-24 years,425.0
2023-01-01,25-29 years,781.0
2023-01-01,30-34 years,1151.0
2023-01-01,35-39 years,1178.0
2023-01-01,40-44 years,1227.0
2023-01-01,45-49 years,984.0
2023-01-01,5-9 years,0.0
2023-01-01,50-54 years,942.0
2023-01-01,55-59 years,1008.0
2023-01-01,60-64 years ,839.0
2023-01-01,65-69 years,481.0
2023-01-01,70-74 years,154.0
2023-01-01,75-79 years,71.0
2023-01-01,80-84 years,32.0
2023-01-01,85-89 years,13.0
2023-01-01,90-94 years,10.0
2023-01-01,95-99 years,0.0
2023-01-01,< 1 year,10.0
2023-01-01,Not Stated,0.0
2023-02-01,1-4 years,15.0
2023-02-01,10-14 years,11.5
2023-02-01,100+ years,0.0
2023-02-01,15-19 years,149.0
2023-02-01,20-24 years,361.0
2023-02-01,25-29 years,693.0
2023-02-01,30-34 years,1008.0
2023-02-01,35-39 years,1078.0
2023-02-01,40-44 years,1157.0
2023-02-01,45-49 years,901.0
2023-02-01,5-9 years,0.0
2023-02-01,50-54 years,890.0
2023-02-01,55-59 years,907.0
2023-02-01,60-64 years ,759.0
2023-02-01,65-69 years,441.0
2023-02-01,70-74 years,161.0
2023-02-01,75-79 years,63.0
2023-02-01,80-84 years,18.0
2023-02-01,85-89 years,14.0
2023-02-01,90-94 years,10.0
2023-02-01,95-99 years,0.0
2023-02-01,< 1 year,10.0
2023-02-01,Not Stated,0.0
2023-03-01,1-4 years,15.0
2023-03-01,10-14 years,11.0
2023-03-01,100+ years,0.0
2023-03-01,15-19 years,135.0
2023-03-01,20-24 years,418.0
2023-03-01,25-29 years,784.0
2023-03-01,30-34 years,1207.0
2023-03-01,35-39 years,1321.0
2023-03-01,40-44 years,1172.0
2023-03-01,45-49 years,961.0
2023-03-01,5-9 years,0.0
2023-03-01,50-54 years,987.0
2023-03-01,55-59 years,1031.0
2023-03-01,60-64 years ,881.0
2023-03-01,65-69 years,465.0
2023-03-01,70-74 years,197.0
2023-03-01,75-79 years,60.0
2023-03-01,80-84 years,30.0
2023-03-01,85-89 years,20.0
2023-03-01,90-94 years,10.0
2023-03-01,95-99 years,0.0
2023-03-01,< 1 year,10.0
2023-03-01,Not Stated,0.0
2023-04-01,1-4 years,17.0
2023-04-01,10-14 years,11.0
2023-04-01,100+ years,0.0
2023-04-01,15-19 years,137.0
2023-04-01,20-24 years,394.0
2023-04-01,25-29 years,742.0
2023-04-01,30-34 years,1134.0
2023-04-01,35-39 years,1270.0
2023-04-01,40-44 years,1174.0
2023-04-01,45-49 years,982.0
2023-04-01,5-9 years,0.0
2023-04-01,50-54 years,973.0
2023-04-01,55-59 years,1039.0
2023-04-01,60-64 years ,795.0
2023-04-01,65-69 years,464.0
2023-04-01,70-74 years,180.0
2023-04-01,75-79 years,41.0
2023-04-01,80-84 years,34.0
2023-04-01,85-89 years,14.0
2023-04-01,90-94 years,10.0
2023-04-01,95-99 years,0.0
2023-04-01,< 1 year,10.5
2023-04-01,Not Stated,0.0
2023-05-01,1-4 years,22.0
2023-05-01,10-14 years,11.0
2023-05-01,100+ years,0.0
2023-05-01,15-19 years,156.0
2023-05-01,20-24 years,404.0
2023-05-01,25-29 years,790.0
2023-05-01,30-34 years,1086.0
2023-05-01,35-39 years,1260.0
2023-05-01,40-44 years,1236.0
2023-05-01,45-49 years,987.0
2023-05-01,5-9 years,0.0
2023-05-01,50-54 years,1092.0
2023-05-01,55-59 years,1047.0
2023-05-01,60-64 years ,839.0
2023-05-01,65-69 years,450.0
2023-05-01,70-74 years,173.0
2023-05-01,75-79 years,56.0
2023-05-01,80-84 years,30.0
2023-05-01,85-89 years,14.0
2023-05-01,90-94 years,10.0
2023-05-01,95-99 years,0.0
2023-05-01,< 1 year,11.0
2023-05-01,Not Stated,0.0
2023-06-01,1-4 years,23.0
2023-06-01,10-14 years,11.5
2023-06-01,100+ years,0.0
2023-06-01,15-19 years,142.0
2023-06-01,20-24 years,396.0
2023-06-01,25-29 years,701.0
2023-06-01,30-34 years,1085.0
2023-06-01,35-39 years,1172.0
2023-06-01,40-44 years,1155.0
2023-06-01,45-49 years,970.0
2023-06-01,5-9 years,0.0
2023-06-01,50-54 years,914.0
2023-06-01,55-59 years,969.0
2023-06-01,60-64 years ,795.0
2023-06-01,65-69 years,450.0
2023-06-01,70-74 years,167.0
2023-06-01,75-79 years,58.0
2023-06-01,80-84 years,27.0
2023-06-01,85-89 years,16.0
2023-06-01,90-94 years,10.0
2023-06-01,95-99 years,0.0
2023-06-01,< 1 year,11.5
2023-06-01,Not Stated,0.0
2023-07-01,1-4 years,15.0
2023-07-01,10-14 years,12.0
2023-07-01,100+ years,0.0
2023-07-01,15-19 years,142.0
2023-07-01,20-24 years,389.0
2023-07-01,25-29 years,741.0
2023-07-01,30-34 years,1163.0
2023-07-01,35-39 years,1222.0
2023-07-01,40-44 years,1232.0
2023-07-01,45-49 years,964.0
2023-07-01,5-9 years,0.0
2023-07-01,50-54 years,963.0
2023-07-01,55-59 years,1009.0
2023-07-01,60-64 years ,865.0
2023-07-01,65-69 years,518.0
2023-07-01,70-74 years,192.0
2023-07-01,75-79 years,65.0
2023-07-01,80-84 years,34.0
2023-07-01,85-89 years,16.0
2023-07-01,90-94 years,10.0
2023-07-01,95-99 years,0.0
2023-07-01,< 1 year,12.0
2023-07-01,Not Stated,0.0
2023-08-01,1-4 years,15.0
2023-08-01,10-14 years,12.5
2023-08-01,100+ years,0.0
2023-08-01,15-19 years,127.0
2023-08-01,20-24 years,359.0
2023-08-01,25-29 years,714.0
2023-08-01,30-34 years,1130.0
2023-08-01,35-39 years,1244.0
2023-08-01,40-44 years,1190.0
2023-08-01,45-49 years,1004.0
2023-08-01,5-9 years,0.0
2023-08-01,50-54 years,922.0
2023-08-01,55-59 years,971.0
2023-08-01,60-64 years ,865.0
2023-08-01,65-69 years,484.0
2023-08-01,70-74 years,180.0
2023-08-01,75-79 years,77.0
2023-08-01,80-84 years,29.0
2023-08-01,85-89 years,11.0
2023-08-01,90-94 years,10.0
2023-08-01,95-99 years,0.0
2023-08-01,< 1 year,12.5
2023-08-01,Not Stated,0.0
2023-09-01,1-4 years,18.0
2023-09-01,10-14 years,13.0
2023-09-01,100+ years,0.0
2023-09-01,15-19 years,111.0
2023-09-01,20-24 years,338.0
2023-09-01,25-29 years,602.0
2023-09-01,30-34 years,995.0
2023-09-01,35-39 years,1045.0
2023-09-01,40-44 years,1083.0
2023-09-01,45-49 years,838.0
2023-09-01,5-9 years,0.0
2023-09-01,50-54 years,854.0
2023-09-01,55-59 years,871.0
2023-09-01,60-64 years ,741.0
2023-09-01,65-69 years,433.0
2023-09-01,70-74 years,153.0
2023-09-01,75-79 years,64.0
2023-09-01,80-84 years,21.0
2023-09-01,85-89 years,10.0
2023-09-01,90-94 years,10.0
2023-09-01,95-99 years,0.0
2023-09-01,< 1 year,13.0
2023-09-01,Not Stated,0.0
2023-10-01,1-4 years,14.0
2023-10-01,10-14 years,12.0
2023-10-01,100+ years,0.0
2023-10-01,15-19 years,125.0
2023-10-01,20-24 years,286.0
2023-10-01,25-29 years,624.0
2023-10-01,30-34 years,990.0
2023-10-01,35-39 years,1014.0
2023-10-01,40-44 years,1057.0
2023-10-01,45-49 years,819.0
2023-10-01,5-9 years,0.0
2023-10-01,50-54 years,889.0
2023-10-01,55-59 years,869.0
2023-10-01,60-64 years ,761.0
2023-10-01,65-69 years,468.0
2023-10-01,70-74 years,157.0
2023-10-01,75-79 years,63.0
2023-10-01,80-84 years,24.0
2023-10-01,85-89 years,13.0
2023-10-01,90-94 years,10.0
2023-10-01,95-99 years,0.0
2023-10-01,< 1 year,13.0
2023-10-01,Not Stated,0.0
2023-11-01,1-4 years,14.0
2023-11-01,10-14 years,12.0
2023-11-01,100+ years,0.0
2023-11-01,15-19 years,113.0
2023-11-01,20-24 years,331.0
2023-11-01,25-29 years,567.0
2023-11-01,30-34 years,933.0
2023-11-01,35-39 years,1029.0
2023-11-01,40-44 years,975.0
2023-11-01,45-49 years,807.0
2023-11-01,5-9 years,0.0
2023-11-01,50-54 years,776.0
2023-11-01,55-59 years,809.0
2023-11-01,60-64 years ,754.0
2023-11-01,65-69 years,420.0
2023-11-01,70-74 years,157.0
2023-11-01,75-79 years,60.0
2023-11-01,80-84 years,27.0
2023-11-01,85-89 years,11.0
2023-11-01,90-94 years,10.0
2023-11-01,95-99 years,0.0
2023-11-01,< 1 year,13.0
2023-11-01,Not Stated,0.0
2023-12-01,1-4 years,14.0
2023-12-01,10-14 years,12.0
2023-12-01,100+ years,0.0
2023-12-01,15-19 years,117.0
2023-12-01,20-24 years,287.0
2023-12-01,25-29 years,565.0
2023-12-01,30-34 years,895.0
2023-12-01,35-39 years,1014.0
2023-12-01,40-44 years,1013.0
2023-12-01,45-49 years,844.0
2023-12-01,5-9 years,0.0
2023-12-01,50-54 years,836.0
2023-12-01,55-59 years,896.0
2023-12-01,60-64 years ,776.0
2023-12-01,65-69 years,475.0
2023-12-01,70-74 years,166.0
2023-12-01,75-79 years,65.0
2023-12-01,80-84 years,33.0
2023-12-01,85-89 years,16.0
2023-12-01,90-94 years,10.0
2023-12-01,95-99 years,0.0
2023-12-01,< 1 year,13.0
2023-12-01,Not Stated,0.0
