Month,State,Deaths
2010-06-01,Utah,33.0
2010-06-01,Vermont,9.6
2010-06-01,Virginia,57.0
2010-06-01,Washington,81.0
2010-06-01,West Virginia,26.0
2010-06-01,Wisconsin,52.0
2010-06-01,Wyoming,11.0
2010-07-01,Alabama,45.0
2010-07-01,Alaska,12.0
2010-07-01,Arizona,121.0
2010-07-01,Arkansas,32.0
2010-07-01,California,383.0
2010-07-01,Colorado,42.0
2010-07-01,Connecticut,26.0
2010-07-01,Delaware,17.5
2010-07-01,District of Columbia,10.375
2010-07-01,Florida,265.0
2010-07-01,Georgia,86.0
2010-07-01,Hawaii,14.0
2010-07-01,Idaho,14.0
2010-07-01,Illinois,107.0
2010-07-01,Indiana,72.0
2010-07-01,Iowa,19.0
2010-07-01,Kansas,29.0
2010-07-01,Kentucky,65.0
2010-07-01,Louisiana,44.0
2010-07-01,Maine,13.0
2010-07-01,Maryland,58.0
2010-07-01,Massachusetts,65.0
2010-07-01,Michigan,147.0
2010-07-01,Minnesota,41.0
2010-07-01,Mississippi,21.0
2010-07-01,Missouri,90.0
2010-07-01,Montana,12.5
2010-07-01,Nebraska,13.5
2010-07-01,Nevada,62.0
2010-07-01,New Hampshire,14.0
2010-07-01,New Jersey,79.0
2010-07-01,New Mexico,47.0
2010-07-01,New York,137.0
2010-07-01,North Carolina,88.0
2010-07-01,North Dakota,0.0
2010-07-01,Ohio,168.0
2010-07-01,Oklahoma,58.0
2010-07-01,Oregon,52.0
2010-07-01,Pennsylvania,137.0
2010-07-01,Rhode Island,15.0
2010-07-01,South Carolina,67.0
2010-07-01,South Dakota,0.47619047619047616
2010-07-01,Tennessee,95.0
2010-07-01,Texas,223.0
2010-07-01,Utah,45.0
2010-07-01,Vermont,12.0
2010-07-01,Virginia,39.0
2010-07-01,Washington,80.0
2010-07-01,West Virginia,41.0
2010-07-01,Wisconsin,56.0
2010-07-01,Wyoming,12.0
2010-08-01,Alabama,50.0
2010-08-01,Alaska,11.5
2010-08-01,Arizona,116.0
2010-08-01,Arkansas,31.0
2010-08-01,California,381.0
2010-08-01,Colorado,67.0
2010-08-01,Connecticut,25.0
2010-08-01,Delaware,15.0
2010-08-01,District of Columbia,10.5
2010-08-01,Florida,263.0
2010-08-01,Georgia,84.0
2010-08-01,Hawaii,11.0
2010-08-01,Idaho,15.0
2010-08-01,Illinois,108.0
2010-08-01,Indiana,82.0
2010-08-01,Iowa,21.0
2010-08-01,Kansas,24.0
2010-08-01,Kentucky,88.0
2010-08-01,Louisiana,46.0
2010-08-01,Maine,11.0
2010-08-01,Maryland,45.0
2010-08-01,Massachusetts,74.0
2010-08-01,Michigan,115.0
2010-08-01,Minnesota,32.0
2010-08-01,Mississippi,29.0
2010-08-01,Missouri,92.0
2010-08-01,Montana,13.0
2010-08-01,Nebraska,13.0
2010-08-01,Nevada,42.0
2010-08-01,New Hampshire,16.0
2010-08-01,New Jersey,75.0
2010-08-01,New Mexico,47.0
2010-08-01,New York,144.0
2010-08-01,North Carolina,107.0
2010-08-01,North Dakota,0.0
2010-08-01,Ohio,146.0
2010-08-01,Oklahoma,48.0
2010-08-01,Oregon,55.0
2010-08-01,Pennsylvania,152.0
2010-08-01,Rhode Island,18.5
2010-08-01,South Carolina,56.0
2010-08-01,South Dakota,0.6349206349206349
2010-08-01,Tennessee,82.0
2010-08-01,Texas,193.0
2010-08-01,Utah,32.0
2010-08-01,Vermont,12.076923076923077
2010-08-01,Virginia,65.0
2010-08-01,Washington,85.0
2010-08-01,West Virginia,35.0
2010-08-01,Wisconsin,58.0
2010-08-01,Wyoming,11.833333333333334
2010-09-01,Alabama,36.0
2010-09-01,Alaska,11.0
2010-09-01,Arizona,106.0
2010-09-01,Arkansas,23.0
2010-09-01,California,362.0
2010-09-01,Colorado,65.0
2010-09-01,Connecticut,33.0
2010-09-01,Delaware,14.5
2010-09-01,District of Columbia,10.625
2010-09-01,Florida,243.0
2010-09-01,Georgia,92.0
2010-09-01,Hawaii,13.0
2010-09-01,Idaho,10.0
2010-09-01,Illinois,97.0
2010-09-01,Indiana,78.0
2010-09-01,Iowa,24.0
2010-09-01,Kansas,32.0
2010-09-01,Kentucky,77.0
2010-09-01,Louisiana,40.0
2010-09-01,Maine,15.0
2010-09-01,Maryland,66.0
2010-09-01,Massachusetts,54.0
2010-09-01,Michigan,117.0
2010-09-01,Minnesota,32.0
2010-09-01,Mississippi,28.0
2010-09-01,Missouri,78.0
2010-09-01,Montana,13.5
2010-09-01,Nebraska,12.333333333333334
2010-09-01,Nevada,67.0
2010-09-01,New Hampshire,16.25
2010-09-01,New Jersey,72.0
2010-09-01,New Mexico,39.0
2010-09-01,New York,118.0
2010-09-01,North Carolina,79.0
2010-09-01,North Dakota,0.0
2010-09-01,Ohio,164.0
2010-09-01,Oklahoma,55.0
2010-09-01,Oregon,50.0
2010-09-01,Pennsylvania,168.0
2010-09-01,Rhode Island,22.0
2010-09-01,South Carolina,56.0
2010-09-01,South Dakota,0.7936507936507936
2010-09-01,Tennessee,78.0
2010-09-01,Texas,199.0
2010-09-01,Utah,50.0
2010-09-01,Vermont,12.153846153846153
2010-09-01,Virginia,35.0
2010-09-01,Washington,77.0
2010-09-01,West Virginia,44.0
2010-09-01,Wisconsin,53.0
2010-09-01,Wyoming,11.666666666666666
2010-10-01,Alabama,46.0
2010-10-01,Alaska,10.5
2010-10-01,Arizona,92.0
2010-10-01,Arkansas,23.0
2010-10-01,California,355.0
2010-10-01,Colorado,41.0
2010-10-01,Connecticut,23.0
2010-10-01,Delaware,14.0
2010-10-01,District of Columbia,10.75
2010-10-01,Florida,242.0
2010-10-01,Georgia,98.0
2010-10-01,Hawaii,16.0
2010-10-01,Idaho,16.0
2010-10-01,Illinois,120.0
2010-10-01,Indiana,79.0
2010-10-01,Iowa,21.0
2010-10-01,Kansas,21.0
2010-10-01,Kentucky,80.0
2010-10-01,Louisiana,34.0
2010-10-01,Maine,15.25
2010-10-01,Maryland,65.0
2010-10-01,Massachusetts,73.0
2010-10-01,Michigan,154.0
2010-10-01,Minnesota,40.0
2010-10-01,Mississippi,36.0
2010-10-01,Missouri,85.0
2010-10-01,Montana,14.0
